ruta,carpeta_origen,comuna,nombre,tipo_archivo,bytes,sha256,paginas,chars_total,paginas_texto,paginas_escaneadas,paginas_vacias,veredicto
descargas\algarrobo\diario_oficial\3336_aprueba_la_modificacion_del_plan_regulador_comuna_de_algarrobo_singularizad__Exportar.pdf,descargas,algarrobo,3336_aprueba_la_modificacion_del_plan_regulador_comuna_de_algarrobo_singularizad__Exportar.pdf,PDF,638850,b046117c16cd0792fc4d5311ac21bd189d2e1b39777c90b334a4193502ba91e0,4,5118,2,0,2,TEXTO
Ordenanzas Descargadas\1-600\algarrobo_3336_aprueba_la_modificacion_del_plan_regulador_comuna_de_algarrobo_singularizad__Exportar.pdf,descargadas,algarrobo,algarrobo_3336_aprueba_la_modificacion_del_plan_regulador_comuna_de_algarrobo_singularizad__Exportar.pdf,PDF,638850,b046117c16cd0792fc4d5311ac21bd189d2e1b39777c90b334a4193502ba91e0,4,5118,2,0,2,TEXTO
Ordenanzas ordenadas\OCR ok\algarrobo_3336_aprueba_la_modificacion_del_plan_regulador_comuna_de_algarrobo_singularizad__Exportar.pdf,ordenadas,algarrobo,algarrobo_3336_aprueba_la_modificacion_del_plan_regulador_comuna_de_algarrobo_singularizad__Exportar.pdf,PDF,638850,b046117c16cd0792fc4d5311ac21bd189d2e1b39777c90b334a4193502ba91e0,4,5118,2,0,2,TEXTO
Ordenanzas ordenadas\OCR ok\AN57FF~1.PDF,ordenadas,an57ff~1,AN57FF~1.PDF,PDF,1462528,42e57bda259bd44cb64fcf6fa645edce4d353685d0bb39aaca8fbabb49b71473,7,17445,7,0,0,TEXTO
descargas\andacollo\diario_oficial\445_aprueba_enmienda_n_1_al_plan_regulador_comunal__Exportar.pdf,descargas,andacollo,445_aprueba_enmienda_n_1_al_plan_regulador_comunal__Exportar.pdf,PDF,41779,ab229622dc3ea9bf64937093d14f3001c7f23461e6654cb6a413e1fc59bb016e,2,4663,2,0,0,TEXTO
Ordenanzas Descargadas\1-600\andacollo_445_aprueba_enmienda_n_1_al_plan_regulador_comunal__Exportar.pdf,descargadas,andacollo,andacollo_445_aprueba_enmienda_n_1_al_plan_regulador_comunal__Exportar.pdf,PDF,41779,ab229622dc3ea9bf64937093d14f3001c7f23461e6654cb6a413e1fc59bb016e,2,4663,2,0,0,TEXTO
Ordenanzas ordenadas\OCR ok\andacollo_445_aprueba_enmienda_n_1_al_plan_regulador_comunal__Exportar.pdf,ordenadas,andacollo,andacollo_445_aprueba_enmienda_n_1_al_plan_regulador_comunal__Exportar.pdf,PDF,41779,ab229622dc3ea9bf64937093d14f3001c7f23461e6654cb6a413e1fc59bb016e,2,4663,2,0,0,TEXTO
descargas\angol\diario_oficial\40_gobierno_regional_de_la_araucania_promulga_actualizacion_del_plan_regulador_c__40.pdf,descargas,angol,40_gobierno_regional_de_la_araucania_promulga_actualizacion_del_plan_regulador_c__40.pdf,PDF,914314,b944344666948d068f0b0a915f6abcd59664a3fc1ca3b9a768f988587afeca78,20,35167,20,0,0,TEXTO
Ordenanzas Descargadas\1-600\angol_40_gobierno_regional_de_la_araucania_promulga_actualizacion_del_plan_regulador_c__40.pdf,descargadas,angol,angol_40_gobierno_regional_de_la_araucania_promulga_actualizacion_del_plan_regulador_c__40.pdf,PDF,914314,b944344666948d068f0b0a915f6abcd59664a3fc1ca3b9a768f988587afeca78,20,35167,20,0,0,TEXTO
Ordenanzas ordenadas\OCR ok\angol_40_gobierno_regional_de_la_araucania_promulga_actualizacion_del_plan_regulador_c__40.pdf,ordenadas,angol,angol_40_gobierno_regional_de_la_araucania_promulga_actualizacion_del_plan_regulador_c__40.pdf,PDF,914314,b944344666948d068f0b0a915f6abcd59664a3fc1ca3b9a768f988587afeca78,20,35167,20,0,0,TEXTO
