comuna,familia,ruta,nombre,paginas,paginas_texto,paginas_escaneadas,veredicto,categoria,sirve,confianza,motivo,metodo,rutas_copias
SIN_COMUNA,an57ff_1,Ordenanzas ordenadas\OCR ok\AN57FF~1.PDF,AN57FF~1.PDF,7,7,0,TEXTO,OTRO_TEMA_MUNICIPAL,NO,ALTA,"Es la 'Ordenanza Municipal 2022 - Extraccion de Aridos en Pozos Lastreros de Propiedad Particular' de Antuco, tema de recursos naturales/medio ambiente, sin relacion con zonificacion del PRC [descarte confirmado por auditor independiente]",TEXTO,Ordenanzas ordenadas\OCR ok\AN57FF~1.PDF
SIN_COMUNA,ca12e2_1,Ordenanzas ordenadas\OCR ok\CA12E2~1.PDF,CA12E2~1.PDF,65,63,2,TEXTO,ENMIENDA_PRC,SI,ALTA,"Decreto 'Aprueba Plano Seccional y Enmiendas al Plan Regulador Comunal' de Caldera, con senales normativas fuertes (constructibilidad, ocupacion de suelo, agrupamiento, antejardin, zonificacion, limite urbano)",TEXTO,Ordenanzas ordenadas\CA12E2~1.PDF | Ordenanzas ordenadas\OCR ok\CA12E2~1.PDF
SIN_COMUNA,cu04a6_1,Ordenanzas ordenadas\CU04A6~1.PDF,CU04A6~1.PDF,9,0,9,ESCANEADO,OTRO_TEMA_MUNICIPAL,NO,ALTA,"Es un decreto de la Municipalidad de Curacautín que modifica la Ordenanza Sobre Derechos Municipales por Permisos, Concesiones y Servicios Municipales (tarifas en UTM por uso de canchas, cementerios, ferias, etc.). No tiene relación con el Plan Regulador Comunal ni contiene norma urbanística alguna (coeficientes, alturas, usos de suelo, zonas). [descarte confirmado por auditor independiente]",VISUAL,Ordenanzas ordenadas\CU04A6~1.PDF
SIN_COMUNA,cu1528_1,Ordenanzas ordenadas\CU1528~1.PDF,CU1528~1.PDF,3,0,3,ESCANEADO,OTRO_TEMA_MUNICIPAL,NO,ALTA,Decreto y acuerdo de concejo de Curacautín que modifican la ordenanza de derechos municipales por los módulos de la Feria de Abasto (tarifas en UTM por módulo). No aprueba ni contiene normas urbanísticas del PRC. [descarte confirmado por auditor independiente],VISUAL,Ordenanzas ordenadas\CU1528~1.PDF
SIN_COMUNA,cu47e3_1,Ordenanzas ordenadas\CU47E3~1.PDF,CU47E3~1.PDF,12,0,12,ESCANEADO,OTRO_TEMA_MUNICIPAL,NO,ALTA,"Decreto de Curacautín que aprueba la ordenanza de funcionamiento y derechos municipales por los módulos del Centro de Exposición de Artesanía (concesión de puestos a artesanos). El articulado visto (Cap. II y III) trata de asignación de módulos, postulación y criterios de selección, sin ninguna norma urbanística de edificación o zonificación. [descarte confirmado por auditor independiente]",VISUAL,Ordenanzas ordenadas\CU47E3~1.PDF
SIN_COMUNA,cuae0a_1,Ordenanzas ordenadas\CUAE0A~1.PDF,CUAE0A~1.PDF,11,0,11,ESCANEADO,OTRO_TEMA_MUNICIPAL,NO,ALTA,"Es una ordenanza sobre funcionamiento y derechos municipales por contraprestacion de modulos de la Feria de Abastos de Curacautin: regula locales comerciales, rubros, dimensiones de puestos y banos del recinto ferial. No contiene coeficientes, alturas, densidades, usos de suelo ni zonas del PRC. [descarte confirmado por auditor independiente]",VISUAL,Ordenanzas ordenadas\CUAE0A~1.PDF
SIN_COMUNA,cufa98_1,Ordenanzas ordenadas\CUFA98~1.PDF,CUFA98~1.PDF,2,0,2,ESCANEADO,OTRO_TEMA_MUNICIPAL,NO,ALTA,"Modifica una ordenanza municipal sobre derechos de arriendo/uso del Terminal Rodoviario (cambia tarifa de cafeteria de 3 a 2 UTM mensual). Es una ordenanza de derechos municipales sobre un servicio comunal, no del Plan Regulador Comunal. [descarte confirmado por auditor independiente]",VISUAL,Ordenanzas ordenadas\CUFA98~1.PDF
SIN_COMUNA,laa257_1,Ordenanzas ordenadas\LAA257~1.PDF,LAA257~1.PDF,14,0,14,ESCANEADO,MODIFICACION_PRC,SI,ALTA,"Decreto exento de la Municipalidad de La Florida que aprueba la Modificacion N9 del Plan Regulador Comunal, con extenso listado de Vistos y Considerando sobre el proceso de aprobacion (audiencias, COSOC, publicaciones). En pagina interior se reemplaza la tabla del articulo 26 'Areas Caracteristicas de Edificacion' con siglas de zonas (E-AB1 a E-AA2, E-A1), tipo de edificacion (Aislada), densidad y edificacion complementaria (pareada/continua): normas urbanisticas explicitas.",VISUAL,Ordenanzas ordenadas\LAA257~1.PDF
SIN_COMUNA,lo696e_1,Ordenanzas ordenadas\LO696E~1.PDF,LO696E~1.PDF,6,2,4,MIXTO,MODIFICACION_PRC,SI,ALTA,"Verificado con pdftotext ampliado: decreto modifica el PRC de Lo Barnechea (MPRC-LB-20), incorpora Zona LL 'Equipamiento de Culto' con coeficientes reales (COS 0.6, constructibilidad 1.0, altura 10.5m); el snippet de 1500 caracteres mostraba por error contenido de fondos mutuos del mismo numero de Diario Oficial",TEXTO,Ordenanzas ordenadas\LO696E~1.PDF
SIN_COMUNA,lo73fc_1,Ordenanzas ordenadas\OCR ok\LO73FC~1.PDF,LO73FC~1.PDF,18,18,0,TEXTO,TRAMITE_ADMINISTRATIVO,NO,ALTA,"Verificado con pdftotext ampliado: es el 'Extracto de Inicio del Procedimiento de Evaluacion Ambiental Estrategica' de la actualizacion del PRC de Lo Barnechea; solo objetivos, criterios y horarios de exposicion, no fija normas [descarte confirmado por auditor independiente]",TEXTO,Ordenanzas ordenadas\OCR ok\LO73FC~1.PDF
