comuna,familia,ruta,carpeta_origen,nombre,bytes,paginas,paginas_texto,paginas_escaneadas,paginas_vacias,veredicto,copias,copias_distintas,rutas_copias
SIN_COMUNA,an57ff_1,Ordenanzas ordenadas\OCR ok\AN57FF~1.PDF,ordenadas,AN57FF~1.PDF,1462528,7,7,0,0,TEXTO,1,1,Ordenanzas ordenadas\OCR ok\AN57FF~1.PDF
SIN_COMUNA,ca12e2_1,Ordenanzas ordenadas\OCR ok\CA12E2~1.PDF,ordenadas,CA12E2~1.PDF,11707768,65,63,2,0,TEXTO,2,2,Ordenanzas ordenadas\CA12E2~1.PDF | Ordenanzas ordenadas\OCR ok\CA12E2~1.PDF
SIN_COMUNA,cu04a6_1,Ordenanzas ordenadas\CU04A6~1.PDF,ordenadas,CU04A6~1.PDF,5164489,9,0,9,0,ESCANEADO,1,1,Ordenanzas ordenadas\CU04A6~1.PDF
SIN_COMUNA,cu1528_1,Ordenanzas ordenadas\CU1528~1.PDF,ordenadas,CU1528~1.PDF,1608684,3,0,3,0,ESCANEADO,1,1,Ordenanzas ordenadas\CU1528~1.PDF
SIN_COMUNA,cu47e3_1,Ordenanzas ordenadas\CU47E3~1.PDF,ordenadas,CU47E3~1.PDF,2749453,12,0,12,0,ESCANEADO,1,1,Ordenanzas ordenadas\CU47E3~1.PDF
SIN_COMUNA,cuae0a_1,Ordenanzas ordenadas\CUAE0A~1.PDF,ordenadas,CUAE0A~1.PDF,3067295,11,0,11,0,ESCANEADO,1,1,Ordenanzas ordenadas\CUAE0A~1.PDF
SIN_COMUNA,cufa98_1,Ordenanzas ordenadas\CUFA98~1.PDF,ordenadas,CUFA98~1.PDF,1087413,2,0,2,0,ESCANEADO,1,1,Ordenanzas ordenadas\CUFA98~1.PDF
SIN_COMUNA,laa257_1,Ordenanzas ordenadas\LAA257~1.PDF,ordenadas,LAA257~1.PDF,3294179,14,0,14,0,ESCANEADO,1,1,Ordenanzas ordenadas\LAA257~1.PDF
SIN_COMUNA,lo696e_1,Ordenanzas ordenadas\LO696E~1.PDF,ordenadas,LO696E~1.PDF,1903787,6,2,4,0,MIXTO,1,1,Ordenanzas ordenadas\LO696E~1.PDF
SIN_COMUNA,lo73fc_1,Ordenanzas ordenadas\OCR ok\LO73FC~1.PDF,ordenadas,LO73FC~1.PDF,5467947,18,18,0,0,TEXTO,1,1,Ordenanzas ordenadas\OCR ok\LO73FC~1.PDF
SIN_COMUNA,lo9bab_1,Ordenanzas ordenadas\LO9BAB~1.PDF,ordenadas,LO9BAB~1.PDF,401148,5,2,3,0,MIXTO,1,1,Ordenanzas ordenadas\LO9BAB~1.PDF
SIN_COMUNA,lob32e_1,Ordenanzas ordenadas\OCR ok\LOB32E~1.PDF,ordenadas,LOB32E~1.PDF,1065744,4,2,2,0,MIXTO,1,1,Ordenanzas ordenadas\OCR ok\LOB32E~1.PDF
SIN_COMUNA,loec66_1,Ordenanzas ordenadas\OCR ok\LOEC66~1.PDF,ordenadas,LOEC66~1.PDF,411544,5,5,0,0,TEXTO,1,1,Ordenanzas ordenadas\OCR ok\LOEC66~1.PDF
SIN_COMUNA,qub2c7_1,Ordenanzas ordenadas\QUB2C7~1.PDF,ordenadas,QUB2C7~1.PDF,185076,1,0,1,0,ESCANEADO,1,1,Ordenanzas ordenadas\QUB2C7~1.PDF
SIN_COMUNA,quinte_3,Ordenanzas ordenadas\QUINTE~3.PDF,ordenadas,QUINTE~3.PDF,4341367,7,0,7,0,ESCANEADO,1,1,Ordenanzas ordenadas\QUINTE~3.PDF
SIN_COMUNA,re0b51_1,Ordenanzas ordenadas\RE0B51~1.PDF,ordenadas,RE0B51~1.PDF,3062999,3,0,3,0,ESCANEADO,1,1,Ordenanzas ordenadas\RE0B51~1.PDF
SIN_COMUNA,re6b5f_1,Ordenanzas ordenadas\OCR ok\RE6B5F~1.PDF,ordenadas,RE6B5F~1.PDF,5596882,24,23,1,0,TEXTO,1,1,Ordenanzas ordenadas\OCR ok\RE6B5F~1.PDF
SIN_COMUNA,re6c2c_1,Ordenanzas ordenadas\OCR ok\RE6C2C~1.PDF,ordenadas,RE6C2C~1.PDF,1747531,2,2,0,0,TEXTO,1,1,Ordenanzas ordenadas\OCR ok\RE6C2C~1.PDF
SIN_COMUNA,re9364_1,Ordenanzas ordenadas\RE9364~1.PDF,ordenadas,RE9364~1.PDF,3612741,4,0,4,0,ESCANEADO,1,1,Ordenanzas ordenadas\RE9364~1.PDF
SIN_COMUNA,reffc5_1,Ordenanzas ordenadas\OCR ok\REFFC5~1.PDF,ordenadas,REFFC5~1.PDF,2970131,6,6,0,0,TEXTO,1,1,Ordenanzas ordenadas\OCR ok\REFFC5~1.PDF
algarrobo,3336_aprueba_la_modificacion_del_plan_regulador_comuna_de_algarrobo_singularizad,Ordenanzas ordenadas\OCR ok\algarrobo_3336_aprueba_la_modificacion_del_plan_regulador_comuna_de_algarrobo_singularizad__Exportar.pdf,ordenadas,algarrobo_3336_aprueba_la_modificacion_del_plan_regulador_comuna_de_algarrobo_singularizad__Exportar.pdf,638850,4,2,0,2,TEXTO,3,1,Ordenanzas Descargadas\1-600\algarrobo_3336_aprueba_la_modificacion_del_plan_regulador_comuna_de_algarrobo_singularizad__Exportar.pdf | Ordenanzas ordenadas\OCR ok\algarrobo_3336_aprueba_la_modificacion_del_plan_regulador_comuna_de_algarrobo_singularizad__Exportar.pdf | descargas\algarrobo\diario_oficial\3336_aprueba_la_modificacion_del_plan_regulador_comuna_de_algarrobo_singularizad__Exportar.pdf
andacollo,445_aprueba_enmienda_n_1_al_plan_regulador_comunal,Ordenanzas ordenadas\OCR ok\andacollo_445_aprueba_enmienda_n_1_al_plan_regulador_comunal__Exportar.pdf,ordenadas,andacollo_445_aprueba_enmienda_n_1_al_plan_regulador_comunal__Exportar.pdf,41779,2,2,0,0,TEXTO,3,1,Ordenanzas Descargadas\1-600\andacollo_445_aprueba_enmienda_n_1_al_plan_regulador_comunal__Exportar.pdf | Ordenanzas ordenadas\OCR ok\andacollo_445_aprueba_enmienda_n_1_al_plan_regulador_comunal__Exportar.pdf | descargas\andacollo\diario_oficial\445_aprueba_enmienda_n_1_al_plan_regulador_comunal__Exportar.pdf
angol,40_gobierno_regional_de_la_araucania_promulga_actualizacion_del_plan_regulador_c,Ordenanzas ordenadas\OCR ok\angol_40_gobierno_regional_de_la_araucania_promulga_actualizacion_del_plan_regulador_c__40.pdf,ordenadas,angol_40_gobierno_regional_de_la_araucania_promulga_actualizacion_del_plan_regulador_c__40.pdf,914314,20,20,0,0,TEXTO,3,1,Ordenanzas Descargadas\1-600\angol_40_gobierno_regional_de_la_araucania_promulga_actualizacion_del_plan_regulador_c__40.pdf | Ordenanzas ordenadas\OCR ok\angol_40_gobierno_regional_de_la_araucania_promulga_actualizacion_del_plan_regulador_c__40.pdf | descargas\angol\diario_oficial\40_gobierno_regional_de_la_araucania_promulga_actualizacion_del_plan_regulador_c__40.pdf
