comuna,familia,ruta,nombre,paginas,paginas_texto,paginas_escaneadas,veredicto,categoria,sirve,confianza,motivo,metodo,rutas_copias
SIN_COMUNA,an57ff_1,Ordenanzas ordenadas\OCR ok\AN57FF~1.PDF,AN57FF~1.PDF,7,7,0,TEXTO,OTRO_TEMA_MUNICIPAL,NO,ALTA,"Es la 'Ordenanza Municipal 2022 - Extraccion de Aridos en Pozos Lastreros de Propiedad Particular' de Antuco, tema de recursos naturales/medio ambiente, sin relacion con zonificacion del PRC [descarte confirmado por auditor independiente]",TEXTO,Ordenanzas ordenadas\OCR ok\AN57FF~1.PDF
SIN_COMUNA,cu04a6_1,Ordenanzas ordenadas\CU04A6~1.PDF,CU04A6~1.PDF,9,0,9,ESCANEADO,OTRO_TEMA_MUNICIPAL,NO,ALTA,"Es un decreto de la Municipalidad de Curacautín que modifica la Ordenanza Sobre Derechos Municipales por Permisos, Concesiones y Servicios Municipales (tarifas en UTM por uso de canchas, cementerios, ferias, etc.). No tiene relación con el Plan Regulador Comunal ni contiene norma urbanística alguna (coeficientes, alturas, usos de suelo, zonas). [descarte confirmado por auditor independiente]",VISUAL,Ordenanzas ordenadas\CU04A6~1.PDF
SIN_COMUNA,cu1528_1,Ordenanzas ordenadas\CU1528~1.PDF,CU1528~1.PDF,3,0,3,ESCANEADO,OTRO_TEMA_MUNICIPAL,NO,ALTA,Decreto y acuerdo de concejo de Curacautín que modifican la ordenanza de derechos municipales por los módulos de la Feria de Abasto (tarifas en UTM por módulo). No aprueba ni contiene normas urbanísticas del PRC. [descarte confirmado por auditor independiente],VISUAL,Ordenanzas ordenadas\CU1528~1.PDF
SIN_COMUNA,cu47e3_1,Ordenanzas ordenadas\CU47E3~1.PDF,CU47E3~1.PDF,12,0,12,ESCANEADO,OTRO_TEMA_MUNICIPAL,NO,ALTA,"Decreto de Curacautín que aprueba la ordenanza de funcionamiento y derechos municipales por los módulos del Centro de Exposición de Artesanía (concesión de puestos a artesanos). El articulado visto (Cap. II y III) trata de asignación de módulos, postulación y criterios de selección, sin ninguna norma urbanística de edificación o zonificación. [descarte confirmado por auditor independiente]",VISUAL,Ordenanzas ordenadas\CU47E3~1.PDF
SIN_COMUNA,cuae0a_1,Ordenanzas ordenadas\CUAE0A~1.PDF,CUAE0A~1.PDF,11,0,11,ESCANEADO,OTRO_TEMA_MUNICIPAL,NO,ALTA,"Es una ordenanza sobre funcionamiento y derechos municipales por contraprestacion de modulos de la Feria de Abastos de Curacautin: regula locales comerciales, rubros, dimensiones de puestos y banos del recinto ferial. No contiene coeficientes, alturas, densidades, usos de suelo ni zonas del PRC. [descarte confirmado por auditor independiente]",VISUAL,Ordenanzas ordenadas\CUAE0A~1.PDF
SIN_COMUNA,cufa98_1,Ordenanzas ordenadas\CUFA98~1.PDF,CUFA98~1.PDF,2,0,2,ESCANEADO,OTRO_TEMA_MUNICIPAL,NO,ALTA,"Modifica una ordenanza municipal sobre derechos de arriendo/uso del Terminal Rodoviario (cambia tarifa de cafeteria de 3 a 2 UTM mensual). Es una ordenanza de derechos municipales sobre un servicio comunal, no del Plan Regulador Comunal. [descarte confirmado por auditor independiente]",VISUAL,Ordenanzas ordenadas\CUFA98~1.PDF
SIN_COMUNA,lo73fc_1,Ordenanzas ordenadas\OCR ok\LO73FC~1.PDF,LO73FC~1.PDF,18,18,0,TEXTO,TRAMITE_ADMINISTRATIVO,NO,ALTA,"Verificado con pdftotext ampliado: es el 'Extracto de Inicio del Procedimiento de Evaluacion Ambiental Estrategica' de la actualizacion del PRC de Lo Barnechea; solo objetivos, criterios y horarios de exposicion, no fija normas [descarte confirmado por auditor independiente]",TEXTO,Ordenanzas ordenadas\OCR ok\LO73FC~1.PDF
SIN_COMUNA,qub2c7_1,Ordenanzas ordenadas\QUB2C7~1.PDF,QUB2C7~1.PDF,1,0,1,ESCANEADO,TRAMITE_ADMINISTRATIVO,NO,ALTA,"Es un decreto que autoriza el INICIO de un trámite (ingreso del informe de evaluación ambiental estratégica al Ministerio de Medio Ambiente) para una futura actualización del PRC; no aprueba ni contiene norma urbanística alguna, es puramente procedimental. [descarte confirmado por auditor independiente]",VISUAL,Ordenanzas ordenadas\QUB2C7~1.PDF
SIN_COMUNA,quinte_3,Ordenanzas ordenadas\QUINTE~3.PDF,QUINTE~3.PDF,7,0,7,ESCANEADO,TRAMITE_ADMINISTRATIVO,NO,ALTA,"El decreto solo aprueba una modificación al convenio de financiamiento (mandato) entre el Gobierno Regional de Valparaíso y la Municipalidad de Quintero para ejecutar el futuro estudio 'Actualización Plan Regulador Comunal de Quintero'; no contiene ni aprueba ninguna norma urbanística, solo montos, plazos e items presupuestarios del convenio. [descarte confirmado por auditor independiente]",VISUAL,Ordenanzas ordenadas\QUINTE~3.PDF
SIN_COMUNA,re0b51_1,Ordenanzas ordenadas\RE0B51~1.PDF,RE0B51~1.PDF,3,0,3,ESCANEADO,TRAMITE_ADMINISTRATIVO,NO,ALTA,"El decreto solo da inicio a la tramitación de la Modificación N°6 al PRC de Rengo (formulación y consulta de la Imagen Objetivo), listando temas a modificar a futuro, sin aprobar ninguna norma todavía. [descarte confirmado por auditor independiente]",VISUAL,Ordenanzas ordenadas\RE0B51~1.PDF
