accion,ruta,tipo_catalogo,tipo_en_disco,destino
BORRADO,Ordenanzas Descargadas\1-600\algarrobo_decreto_alcaldicio_999_ordenanza_plan_regulador_comunal__ETnX5GiKADZGtX6YdtblFzMBUW04jUWJd3r-zsDXnj-DBQ.pdf,HTML,HTML,
BORRADO,Ordenanzas Descargadas\1-600\algarrobo_decreto_aprueba_la_modificacion_del_plan_regulador_comuna_de_algarrobo_singulari__3f01n.pdf,HTML,HTML,
BORRADO,descargas\algarrobo\busqueda_global\decreto_alcaldicio_999_ordenanza_plan_regulador_comunal__ETnX5GiKADZGtX6YdtblFzMBUW04jUWJd3r-zsDXnj-DBQ.pdf,HTML,HTML,
BORRADO,descargas\algarrobo\busqueda_global\decreto_aprueba_la_modificacion_del_plan_regulador_comuna_de_algarrobo_singulari__3f01n.pdf,HTML,HTML,
BORRADO,Ordenanzas Descargadas\1-600\alhue_atribuciones_esenciales__Navegar.pdf,HTML,HTML,
BORRADO,descargas\alhue\busqueda_global\atribuciones_esenciales__Navegar.pdf,HTML,HTML,
BORRADO,Ordenanzas Descargadas\1-600\alto_biobio_atribuciones_esenciales__Navegar.pdf,HTML,HTML,
BORRADO,descargas\alto_biobio\busqueda_global\atribuciones_esenciales__Navegar.pdf,HTML,HTML,
BORRADO,Ordenanzas Descargadas\1-600\alto_del_carmen_consulta_publica_procesos_de_elaboracion_de_los_planes_reguladores_intercomunale__navegar.pdf,HTML,HTML,
BORRADO,descargas\alto_del_carmen\busqueda_global\consulta_publica_procesos_de_elaboracion_de_los_planes_reguladores_intercomunale__navegar.pdf,HTML,HTML,
BORRADO,Ordenanzas Descargadas\1-600\alto_hospicio_atribuciones_esenciales__2f796.pdf,HTML,HTML,
BORRADO,descargas\alto_hospicio\busqueda_global\atribuciones_esenciales__2f796.pdf,HTML,HTML,
BORRADO,Ordenanzas Descargadas\1-600\ancud_atribuciones_esenciales__navegar.pdf,HTML,HTML,
BORRADO,descargas\ancud\busqueda_global\atribuciones_esenciales__navegar.pdf,HTML,HTML,
BORRADO,Ordenanzas Descargadas\1-600\andacollo_plan_regulador__Navegar.pdf,HTML,HTML,
BORRADO,descargas\andacollo\busqueda_global\plan_regulador__Navegar.pdf,HTML,HTML,
BORRADO,Ordenanzas Descargadas\1-600\antofagasta_decreto_exento_modificaciones_al_plan_regulador_comunal_de_antofagasta__1vy43.pdf,HTML,HTML,
BORRADO,descargas\antofagasta\busqueda_global\decreto_exento_modificaciones_al_plan_regulador_comunal_de_antofagasta__1vy43.pdf,HTML,HTML,
BORRADO,Ordenanzas Descargadas\1-600\antuco_atribuciones_esenciales__1uuy1.pdf,HTML,HTML,
BORRADO,descargas\antuco\busqueda_global\atribuciones_esenciales__1uuy1.pdf,HTML,HTML,
BORRADO,Ordenanzas Descargadas\1-600\arica_plan_regulador__plan-regulador-comunal.pdf,HTML,HTML,
BORRADO,Ordenanzas ordenadas\OCR ok\arica_plan_regulador__plan-regulador-comunal.pdf,HTML,HTML,
BORRADO,descargas\arica\busqueda_global\plan_regulador__plan-regulador-comunal.pdf,HTML,HTML,
BORRADO,descargas\aysen\busqueda_global\atribuciones_esenciales__Navegar.pdf,HTML,HTML,
BORRADO,Ordenanzas Descargadas\1-600\aysen_atribuciones_esenciales__Navegar.pdf,HTML,HTML,
BORRADO,Ordenanzas Descargadas\1-600\buin_potestades_competencias_responsabilidades_funciones_atribuciones_yo_tareas__navegar.pdf,HTML,HTML,
BORRADO,descargas\buin\busqueda_global\potestades_competencias_responsabilidades_funciones_atribuciones_yo_tareas__navegar.pdf,HTML,HTML,
BORRADO,descargas\cabildo\busqueda_global\atribuciones_esenciales__Navegar.pdf,HTML,HTML,
BORRADO,Ordenanzas Descargadas\1-600\cabildo_atribuciones_esenciales__Navegar.pdf,HTML,HTML,
BORRADO,Ordenanzas Descargadas\1-600\cabildo_decreto_alcaldicio_1349_aprueba_enmienda_nro_1_plan_regulador_comunal_de_cabildo__view.pdf,HTML,HTML,
BORRADO,descargas\cabildo\busqueda_global\decreto_alcaldicio_1349_aprueba_enmienda_nro_1_plan_regulador_comunal_de_cabildo__view.pdf,HTML,HTML,
BORRADO,descargas\cabrero\busqueda_global\atribuciones_esenciales__Navegar.pdf,HTML,HTML,
BORRADO,Ordenanzas Descargadas\1-600\cabrero_atribuciones_esenciales__Navegar.pdf,HTML,HTML,
BORRADO,Ordenanzas Descargadas\1-600\calbuco_decreto_aprueba_enmienda_012018_al_plan_regulador_comunal_de_calbuco_sector_15_d__navegar.pdf,HTML,HTML,
BORRADO,descargas\calbuco\busqueda_global\decreto_aprueba_enmienda_012018_al_plan_regulador_comunal_de_calbuco_sector_15_d__navegar.pdf,HTML,HTML,
BORRADO,Ordenanzas Descargadas\1-600\caldera_decreto_alcaldicio_aprueba_plano_seccional_y_enmiendas_al_plan_regulador_comunal__3cuc4.pdf,HTML,HTML,
BORRADO,descargas\caldera\busqueda_global\decreto_alcaldicio_aprueba_plano_seccional_y_enmiendas_al_plan_regulador_comunal__3cuc4.pdf,HTML,HTML,
BORRADO,descargas\calera_de_tango\busqueda_global\atribuciones_esenciales__1h2rj.pdf,HTML,HTML,
BORRADO,Ordenanzas Descargadas\1-600\calera_de_tango_atribuciones_esenciales__1h2rj.pdf,HTML,HTML,
BORRADO,Ordenanzas Descargadas\1-600\calera_de_tango_decreto_alcaldicio_203_a_realizar_llamado_a_propuesta_publica_para_la_ejecucion___view.pdf,HTML,HTML,
BORRADO,Ordenanzas Descargadas\1-600\calera_de_tango_decreto_alcaldicio_2980_como_representante_de_equipo_de_trabajo_del_plan_regulad__view.pdf,HTML,HTML,
BORRADO,Ordenanzas ordenadas\OCR ok\calera_de_tango_decreto_alcaldicio_2980_como_representante_de_equipo_de_trabajo_del_plan_regulad__view.pdf,HTML,HTML,
BORRADO,Ordenanzas Descargadas\1-600\calera_de_tango_decreto_alcaldicio_43_con_javier_wood_l_asesoria_en_la_elaboracion_del_plan_regu__view.pdf,HTML,HTML,
BORRADO,Ordenanzas Descargadas\1-600\calera_de_tango_decreto_alcaldicio_597_para_asesoria_en_la_elaboracion_y_presentacion_del_plan_r__view.pdf,HTML,HTML,
BORRADO,descargas\calera_de_tango\busqueda_global\decreto_alcaldicio_203_a_realizar_llamado_a_propuesta_publica_para_la_ejecucion___view.pdf,HTML,HTML,
BORRADO,descargas\calera_de_tango\busqueda_global\decreto_alcaldicio_2980_como_representante_de_equipo_de_trabajo_del_plan_regulad__view.pdf,HTML,HTML,
BORRADO,descargas\calera_de_tango\busqueda_global\decreto_alcaldicio_43_con_javier_wood_l_asesoria_en_la_elaboracion_del_plan_regu__view.pdf,HTML,HTML,
BORRADO,descargas\calera_de_tango\busqueda_global\decreto_alcaldicio_597_para_asesoria_en_la_elaboracion_y_presentacion_del_plan_r__view.pdf,HTML,HTML,
BORRADO,Ordenanzas Descargadas\1-600\calle_larga_decreto_exento_enmienda_n_1_al_plan_regulador_comunal_de_calle_larga__navegar.pdf,HTML,HTML,
BORRADO,descargas\calle_larga\busqueda_global\decreto_exento_enmienda_n_1_al_plan_regulador_comunal_de_calle_larga__navegar.pdf,HTML,HTML,
BORRADO,descargas\camarones\busqueda_global\funciones_privativas__navegar.pdf,HTML,HTML,
BORRADO,Ordenanzas Descargadas\1-600\camarones_funciones_privativas__navegar.pdf,HTML,HTML,
BORRADO,descargas\camina\busqueda_global\atribuciones_esenciales__Navegar.pdf,HTML,HTML,
BORRADO,Ordenanzas Descargadas\1-600\camina_atribuciones_esenciales__Navegar.pdf,HTML,HTML,
BORRADO,descargas\canela\busqueda_global\atribuciones_esenciales__Navegar.pdf,HTML,HTML,
BORRADO,Ordenanzas Descargadas\1-600\canela_atribuciones_esenciales__Navegar.pdf,HTML,HTML,
BORRADO,Ordenanzas Descargadas\1-600\canete_potestades_competencias_responsabilidades_funciones_atribuciones_yo_tareas__Navegar.pdf,HTML,HTML,
BORRADO,descargas\canete\busqueda_global\potestades_competencias_responsabilidades_funciones_atribuciones_yo_tareas__Navegar.pdf,HTML,HTML,
BORRADO,Ordenanzas Descargadas\1-600\carahue_decreto_aprueba_modificacion_al_plan_regulador_comunal_de_carahue__Navegar.pdf,HTML,HTML,
BORRADO,descargas\carahue\busqueda_global\decreto_aprueba_modificacion_al_plan_regulador_comunal_de_carahue__Navegar.pdf,HTML,HTML,
BORRADO,descargas\cartagena\busqueda_global\atribuciones_esenciales__Navegar.pdf,HTML,HTML,
BORRADO,Ordenanzas Descargadas\1-600\cartagena_atribuciones_esenciales__Navegar.pdf,HTML,HTML,
BORRADO,Ordenanzas Descargadas\1-600\casablanca_decreto_alcaldicio_35_plan_regulador_comunal_de_casablanca_1990_instrumento_de_o__z9PB4FTwM8SB3ki.pdf,HTML,HTML,
BORRADO,Ordenanzas ordenadas\OCR ok\casablanca_decreto_alcaldicio_35_plan_regulador_comunal_de_casablanca_1990_instrumento_de_o__z9PB4FTwM8SB3ki.pdf,HTML,HTML,
BORRADO,Ordenanzas Descargadas\1-600\casablanca_decreto_alcaldicio_4674_plan_regulador_comunal__Fn85mQeqtcYjpxm.pdf,HTML,HTML,
BORRADO,Ordenanzas ordenadas\OCR ok\casablanca_decreto_alcaldicio_4674_plan_regulador_comunal__Fn85mQeqtcYjpxm.pdf,HTML,HTML,
BORRADO,Ordenanzas Descargadas\1-600\casablanca_decreto_alcaldicio_4674_plan_regulador_comunal__JcZ6EMGS2sMW9Fj.pdf,HTML,HTML,
BORRADO,Ordenanzas ordenadas\OCR ok\casablanca_decreto_alcaldicio_4674_plan_regulador_comunal__JcZ6EMGS2sMW9Fj.pdf,HTML,HTML,
BORRADO,Ordenanzas Descargadas\1-600\casablanca_decreto_aprueba_modificacion_del_plan_regulador__jF56eogyWm9STZS.pdf,HTML,HTML,
BORRADO,Ordenanzas ordenadas\OCR ok\casablanca_decreto_aprueba_modificacion_del_plan_regulador__jF56eogyWm9STZS.pdf,HTML,HTML,
BORRADO,Ordenanzas Descargadas\1-600\casablanca_decreto_enmienda_n_1_2022_a_las_zonas_zed_y_zhm_4_del_plan_regulador_comunal_de___ZE6BcYCtw5RdzQ8.pdf,HTML,HTML,
BORRADO,Ordenanzas ordenadas\OCR ok\casablanca_decreto_enmienda_n_1_2022_a_las_zonas_zed_y_zhm_4_del_plan_regulador_comunal_de___ZE6BcYCtw5RdzQ8.pdf,HTML,HTML,
BORRADO,Ordenanzas Descargadas\1-600\casablanca_decreto_promulga_aprobacion_de_la_actualizacion_del_plan_regulador_comunal_de_ca__5RWzWEx6ZxMGnKE.pdf,HTML,HTML,
BORRADO,Ordenanzas ordenadas\OCR ok\casablanca_decreto_promulga_aprobacion_de_la_actualizacion_del_plan_regulador_comunal_de_ca__5RWzWEx6ZxMGnKE.pdf,HTML,HTML,
BORRADO,descargas\casablanca\busqueda_global\decreto_alcaldicio_35_plan_regulador_comunal_de_casablanca_1990_instrumento_de_o__z9PB4FTwM8SB3ki.pdf,HTML,HTML,
BORRADO,descargas\casablanca\busqueda_global\decreto_alcaldicio_4674_plan_regulador_comunal__Fn85mQeqtcYjpxm.pdf,HTML,HTML,
BORRADO,descargas\casablanca\busqueda_global\decreto_alcaldicio_4674_plan_regulador_comunal__JcZ6EMGS2sMW9Fj.pdf,HTML,HTML,
BORRADO,descargas\casablanca\busqueda_global\decreto_aprueba_modificacion_del_plan_regulador__jF56eogyWm9STZS.pdf,HTML,HTML,
BORRADO,descargas\casablanca\busqueda_global\decreto_enmienda_n_1_2022_a_las_zonas_zed_y_zhm_4_del_plan_regulador_comunal_de___ZE6BcYCtw5RdzQ8.pdf,HTML,HTML,
BORRADO,descargas\casablanca\busqueda_global\decreto_promulga_aprobacion_de_la_actualizacion_del_plan_regulador_comunal_de_ca__5RWzWEx6ZxMGnKE.pdf,HTML,HTML,
BORRADO,descargas\castro\busqueda_global\atribuciones_esenciales__Navegar.pdf,HTML,HTML,
BORRADO,Ordenanzas Descargadas\1-600\castro_atribuciones_esenciales__Navegar.pdf,HTML,HTML,
RESCATADO,descargas\catemu\busqueda_global\0_plan_regulador_vigente__dd60d69b-c91d-43a1-879d-c8223ff67d32.pdf,IMAGEN,IMAGEN,_recuperables_no_pdf\0_plan_regulador_vigente__dd60d69b-c91d-43a1-879d-c8223ff67d32.jpg
RESCATADO,Ordenanzas Descargadas\1-600\catemu_0_plan_regulador_vigente__dd60d69b-c91d-43a1-879d-c8223ff67d32.pdf,IMAGEN,IMAGEN,_recuperables_no_pdf\catemu_0_plan_regulador_vigente__dd60d69b-c91d-43a1-879d-c8223ff67d32.jpg
BORRADO,Ordenanzas Descargadas\1-600\cauquenes_decreto_alcaldicio_enmienda_n_1_al_plan_regulador_comunal_de_cauquenes__navegar.pdf,HTML,HTML,
BORRADO,descargas\cauquenes\busqueda_global\decreto_alcaldicio_enmienda_n_1_al_plan_regulador_comunal_de_cauquenes__navegar.pdf,HTML,HTML,
BORRADO,Ordenanzas Descargadas\1-600\cerro_navia_decreto_alcaldicio_1324_prorrogase_plazo_de_consulta_publica_de_imagen_objetivo___EdyHi2pokaBMgv42EY66zZ8BkVW3aFz6ZAB3LFwqeJiN3g.pdf,HTML,HTML,
BORRADO,Ordenanzas Descargadas\1-600\cerro_navia_decreto_alcaldicio_1751_prorrogase_plazo_de_consulta_publica_de_imagen_objetivo___EYv8IrXolTdMlv_IPiaQiDkBq6Pbkrjxxfq4yR0KAoPtYA.pdf,HTML,HTML,
BORRADO,Ordenanzas Descargadas\1-600\cerro_navia_decreto_alcaldicio_887_aprueba_resumen_ejecutivo_y_plano_de_imagen_objetivo_de_m__EW5o97qSxmJGq94Yg-5bBtIBUs2lOBCjne9fbxNH3jlxbg.pdf,HTML,HTML,
BORRADO,Ordenanzas Descargadas\1-600\cerro_navia_decreto_aprueba_modificacion_no3_al_plan_regulador_comunal__EReN8nQEcnlFvkxzYgof1lkBpDQZfcHBolV1pPuGrziZvQ.pdf,HTML,HTML,
BORRADO,Ordenanzas Descargadas\1-600\cerro_navia_decreto_aprueba_modificacion_no_3_al_plan_regulador_comunal__Navegar.pdf,HTML,HTML,
BORRADO,Ordenanzas Descargadas\1-600\cerro_navia_decreto_aprueba_y_promulga_modificacion_no2_al_plan_regulador_comunal__ESDwFJPFrPlAvpDfx3Q5GMABL4glEo6fvbPWXQA3RsFYDQ.pdf,HTML,HTML,
BORRADO,Ordenanzas Descargadas\1-600\cerro_navia_decreto_corrige_y_complementa_modificacion_a_plan_regulador_comunal__EVS37lFUvClJnmXhtlJcp3QBbj9zedSJ2qx04msfCV5GTQ.pdf,HTML,HTML,
BORRADO,Ordenanzas Descargadas\1-600\cerro_navia_decreto_modificacion_plan_regulador_comunal_n_4_sector_hospital_metropolitano_oc__EfzEBV9muFhElHEFvMOTggcBCyg5ycZrn3u2cffWPmmxWA.pdf,HTML,HTML,
BORRADO,Ordenanzas Descargadas\1-600\cerro_navia_ordenanza_ordenanza_que_modifica_plan_regulador_comunal_sector_plaza_yugoslavia__EZa4Yaj5UzBEn70ZviMSBbUBrxzXg34_qNa3fee_8Ln43A.pdf,HTML,HTML,
BORRADO,descargas\cerro_navia\busqueda_global\decreto_alcaldicio_1324_prorrogase_plazo_de_consulta_publica_de_imagen_objetivo___EdyHi2pokaBMgv42EY66zZ8BkVW3aFz6ZAB3LFwqeJiN3g.pdf,HTML,HTML,
BORRADO,descargas\cerro_navia\busqueda_global\decreto_alcaldicio_1751_prorrogase_plazo_de_consulta_publica_de_imagen_objetivo___EYv8IrXolTdMlv_IPiaQiDkBq6Pbkrjxxfq4yR0KAoPtYA.pdf,HTML,HTML,
BORRADO,descargas\cerro_navia\busqueda_global\decreto_alcaldicio_887_aprueba_resumen_ejecutivo_y_plano_de_imagen_objetivo_de_m__EW5o97qSxmJGq94Yg-5bBtIBUs2lOBCjne9fbxNH3jlxbg.pdf,HTML,HTML,
BORRADO,descargas\cerro_navia\busqueda_global\decreto_aprueba_modificacion_no3_al_plan_regulador_comunal__EReN8nQEcnlFvkxzYgof1lkBpDQZfcHBolV1pPuGrziZvQ.pdf,HTML,HTML,
BORRADO,descargas\cerro_navia\busqueda_global\decreto_aprueba_modificacion_no_3_al_plan_regulador_comunal__Navegar.pdf,HTML,HTML,
BORRADO,descargas\cerro_navia\busqueda_global\decreto_aprueba_y_promulga_modificacion_no2_al_plan_regulador_comunal__ESDwFJPFrPlAvpDfx3Q5GMABL4glEo6fvbPWXQA3RsFYDQ.pdf,HTML,HTML,
BORRADO,descargas\cerro_navia\busqueda_global\decreto_corrige_y_complementa_modificacion_a_plan_regulador_comunal__EVS37lFUvClJnmXhtlJcp3QBbj9zedSJ2qx04msfCV5GTQ.pdf,HTML,HTML,
BORRADO,descargas\cerro_navia\busqueda_global\decreto_modificacion_plan_regulador_comunal_n_4_sector_hospital_metropolitano_oc__EfzEBV9muFhElHEFvMOTggcBCyg5ycZrn3u2cffWPmmxWA.pdf,HTML,HTML,
BORRADO,descargas\cerro_navia\busqueda_global\ordenanza_ordenanza_que_modifica_plan_regulador_comunal_sector_plaza_yugoslavia__EZa4Yaj5UzBEn70ZviMSBbUBrxzXg34_qNa3fee_8Ln43A.pdf,HTML,HTML,
BORRADO,descargas\chaiten\busqueda_global\atribuciones_esenciales__Navegar.pdf,HTML,HTML,
BORRADO,Ordenanzas Descargadas\1-600\chaiten_atribuciones_esenciales__Navegar.pdf,HTML,HTML,
BORRADO,Ordenanzas Descargadas\1-600\chaiten_decreto_1_cabildo_ciudadano_por_el_plan_regulador_comunal__documento.pdf,HTML,HTML,
BORRADO,descargas\chaiten\busqueda_global\decreto_1_cabildo_ciudadano_por_el_plan_regulador_comunal__documento.pdf,HTML,HTML,
BORRADO,descargas\chanco\busqueda_global\atribuciones_esenciales__Navegar.pdf,HTML,HTML,
BORRADO,Ordenanzas Descargadas\1-600\chanco_atribuciones_esenciales__Navegar.pdf,HTML,HTML,
