id,comuna,ruta,veredicto,paginas,tiene_tablas,rangos,paginas_utiles,confianza,metodo,nota,sesion,fin
sin_comuna_0a940addc1,SIN_COMUNA,Ordenanzas ordenadas\RE9364~1.PDF,ESCANEADO,4,no,,0,MEDIA,,"IDENTIFICADO: es de la comuna RENGO (mal clasificado como SIN_COMUNA), Decreto Alcaldicio N580/2019 que solo INICIA el proceso de Enmienda N7 (aumento 20% altura máxima zona ZH3, e incorporación ZH5) - trámite de inicio con citación a audiencias públicas, sin cuadro normativo (los valores aún no se aprueban, solo se anuncia el objetivo)",Ordenanzas S4,2026-07-15T08:09:29
sin_comuna_0f3aaee230,SIN_COMUNA,Ordenanzas ordenadas\CUAE0A~1.PDF,ESCANEADO,11,no,,0,MEDIA,,DOCUMENTO MAL CLASIFICADO EN EL CORPUS: es Decreto Ex.673/2021 de Municipalidad de CURACAUTÍN sobre 'Ordenanza para funcionamiento y derechos municipales por contraprestación de módulos Feria de Abastos' - no tiene NINGUNA relación con Plan Regulador Comunal ni normas urbanísticas (es sobre tarifas de un mercado municipal),Ordenanzas S4,2026-07-15T08:10:13
sin_comuna_18f67d445a,SIN_COMUNA,Ordenanzas ordenadas\LAA257~1.PDF,ESCANEADO,14,no,,0,ALTA,VISUAL,"LA FLORIDA: DUPLICADO de la_florida_ea7c117ec4 (mismo Decreto 461, 04-feb-2015, Modificacion N9 al PRC), pero esta copia es un ESCANEO PURO de 14 paginas (vs 11 del otro archivo) y aqui SI es perfectamente legible visualmente (nitido, sin necesidad de mayor resolucion), a diferencia del otro archivo BCN donde las tablas eran imagen invisible a pdftotext. Normas en p5-14: 12 zonas de edificacion E-AB1 a E-A1 (Art 30, condiciones de edificacion: predial minima, COS, CC, altura, agrupamiento, rasante, distancia a medianero, adosamiento, antejardin, estacionamientos, densidad bruta), mas p12-13 usos de suelo permitidos-prohibidos de U-Vev1, U-Vev2 y zona nueva ESP-4 Precordillera (COS 0,014, altura 8m, rasante 70 grados). Confirma y amplia el rango del duplicado ya registrado (que iba 3-10 en el otro archivo). [CORREGIDO en revision Fase4: DUPLICADO de la_florida_ea7c117ec4, que ya tiene el mismo contenido registrado. Excluido para no duplicar trabajo.]",S1,2026-07-15T08:09:25
sin_comuna_19d72598d7,rengo,Ordenanzas ordenadas\OCR ok\RE6B5F~1.PDF,TEXTO,24,si,6-14,9,ALTA,TEXTO+VISUAL,"RENGO: Decreto 0434 (mar-2023) Modificacion N6 al PRC (parcial, 5 temas). NUCLEO: pags 13-14 = Articulo 38 bis zona nueva ZH3-A (usos de suelo + condiciones de edificacion: predial minima, COS, CC, agrupamiento, altura, antejardin, densidad) en formato prosa/articulo, NO grilla. Rango ampliado a 6-14 por precaucion: 6-9 inventario patrimonial ICH/ZCH, 9-11 dotacion de estacionamientos por actividad, 11-12 vialidad estructurante. Pags 17-21 son planos apaisados escaneados (mirados: solo mapas, leyendas y firmas). OJO: este PDF NO trae el cuadro general de normas por zona del PRC vigente de Rengo, solo la zona nueva. [comuna corregida en revision Fase4: era SIN_COMUNA]",S1,2026-07-14T13:00:06
sin_comuna_1c2c027df7,SIN_COMUNA,Ordenanzas ordenadas\OCR ok\AN57FF~1.PDF,TEXTO,7,no,,0,ALTA,TEXTO,"ANTUCO: ordenanza municipal de extraccion de aridos en pozos lastreros (2022), NO es PRC. Texto completo de 7 pags revisado: 0 coincidencias de constructibilidad/ocupacion/predial minima/altura/agrupamiento/densidad/usos de suelo/zonificacion. Titulos: normas generales, prohibiciones, derechos municipales, recuperacion, sanciones.",S1,2026-07-14T12:56:36
sin_comuna_342a83030a,SIN_COMUNA,Ordenanzas ordenadas\CU1528~1.PDF,ESCANEADO,3,no,,0,ALTA,VISUAL,"CURACAUTIN: NO ES UN DOCUMENTO PRC. Decreto Exento 2.991 (30-oct-2023, 3p, escaneado sin OCR): 'Modifica Ordenanza para el Funcionamiento y Derechos Municipales por Contraprestacion de Modulos Feria de Abasto' (feria libre municipal: locales de artesania, cocinerias, comerciales). No es planificacion territorial. Verificado visualmente.",S1,2026-07-15T08:09:04
sin_comuna_45d9d80d1d,SIN_COMUNA,Ordenanzas ordenadas\QUINTE~3.PDF,ESCANEADO,7,no,,0,ALTA,VISUAL,"QUINTERO: Decreto Alcaldicio 3880 (18-jul-2024, 7p, escaneado sin OCR). Es un CONVENIO MANDATO entre el Gobierno Regional de Valparaiso y la Municipalidad de Quintero para financiar el estudio 'Actualizacion Plan Regulador Comunal de Quintero' (Cod. BIP 30131326-0): historial de licitaciones, desercion, reevaluacion presupuestaria (de 207 a 432 millones), clausulas del convenio y firmas. NO es la ordenanza: la ordenanza es un entregable FUTURO del estudio, mismo patron que Cerrillos_f0837a10fa. La unica tabla es de montos presupuestarios (gastos administrativos, consultorias), no normas urbanisticas. Verificado visualmente, 2 pags miradas.",S1,2026-07-15T08:09:04
sin_comuna_481b5b0a29,lo_barnechea,Ordenanzas ordenadas\OCR ok\LOB32E~1.PDF,MIXTO,4,si,1-2,2,MEDIA,TEXTO+VISUAL,"COMUNA REAL = LO BARNECHEA (pagina de DO 39.953, 06-05-2011, Cuerpo I 15-16, mezcla 2 decretos de Lo Barnechea + aviso ajeno de Vina del Mar + resolucion de Superintendencia de Quiebras: NO atribuir esos ultimos a Lo Barnechea). DOS decretos de Lo Barnechea en p1-2: (A) Decreto s/n asigna nuevas normas urbanisticas a predios liberados de declaratoria de utilidad publica (ensanche calle El Olivar), asimilandolas a la zona adyacente 'de acuerdo a la tabla siguiente' -- LA TABLA NO APARECE, el texto salta directo al Decreto 2285 sin mostrarla (probablemente en pagina no incluida en este PDF). (B) Decreto 2285/2011 MPRC-LB-14: SUPRIME la clase Comercio permitida en el tipo Equipamiento del titulo Cerros Islas, art.24 Ordenanza Local -- norma real en prosa. p3-4 (render) son solo copia municipal firmada del Decreto 2285, sin agregar contenido nuevo. Confianza MEDIA: falta la tabla del decreto (A). [comuna corregida en revision Fase4: era SIN_COMUNA]",S2,2026-07-15T07:48:17
sin_comuna_6a0ae20f5f,SIN_COMUNA,Ordenanzas ordenadas\LO9BAB~1.PDF,MIXTO,5,no,,0,ALTA,TEXTO,"Pagina de DO 41.273 (03-10-2015, Cuerpo I 17-18) que mezcla varias comunas: (1) Superintendencia de Electricidad (ajeno). (2) Lo Barnechea, Decreto 5794/2015 MPRC-LB-22: SOLO modifica el POLIGONO (lista de puntos deslinde) del establecimiento N8 Zona E Equipamiento Educacional (art.55): 'donde dice 36-37-38-39-40-41-42-43-44-45-46-39 debe decir 36-37-38-39-40-41-42-43-36' -- es correccion geometrica de deslinde, SIN valor de norma (COS/CC/altura/etc). (3) Quintero, Decreto 1191/2015: DESAFECTA declaratoria de utilidad publica (ensanche 4 m Av. Norman... via), es vialidad/tramite, no norma de zona. (4) Doñihue, ordenanza de derechos y concesiones (otro tema, ajeno). Ninguna de las 4 entradas fija norma urbanistica de zona.",S2,2026-07-15T07:49:38
sin_comuna_723625febb,SIN_COMUNA,Ordenanzas ordenadas\CUFA98~1.PDF,ESCANEADO,2,no,,0,ALTA,VISUAL,"CURACAUTIN: NO ES UN DOCUMENTO PRC. Decreto Exento 2.992 (30-oct-2023, 2p, escaneado sin OCR): 'Modifica Ordenanza Municipal Terminal Rodoviario Curacautin'. Solo cambia una tarifa de arriendo (cafeteria de 3 UTM a 2 UTM mensual). No es planificacion territorial. Verificado visualmente.",S1,2026-07-15T08:09:04
