comuna,familia,ruta,nombre,paginas,paginas_texto,paginas_escaneadas,veredicto,categoria,sirve,confianza,motivo,metodo,rutas_copias
SIN_COMUNA,ca12e2_1,Ordenanzas ordenadas\OCR ok\CA12E2~1.PDF,CA12E2~1.PDF,65,63,2,TEXTO,ENMIENDA_PRC,SI,ALTA,"Decreto 'Aprueba Plano Seccional y Enmiendas al Plan Regulador Comunal' de Caldera, con senales normativas fuertes (constructibilidad, ocupacion de suelo, agrupamiento, antejardin, zonificacion, limite urbano)",TEXTO,Ordenanzas ordenadas\CA12E2~1.PDF | Ordenanzas ordenadas\OCR ok\CA12E2~1.PDF
SIN_COMUNA,laa257_1,Ordenanzas ordenadas\LAA257~1.PDF,LAA257~1.PDF,14,0,14,ESCANEADO,MODIFICACION_PRC,SI,ALTA,"Decreto exento de la Municipalidad de La Florida que aprueba la Modificacion N9 del Plan Regulador Comunal, con extenso listado de Vistos y Considerando sobre el proceso de aprobacion (audiencias, COSOC, publicaciones). En pagina interior se reemplaza la tabla del articulo 26 'Areas Caracteristicas de Edificacion' con siglas de zonas (E-AB1 a E-AA2, E-A1), tipo de edificacion (Aislada), densidad y edificacion complementaria (pareada/continua): normas urbanisticas explicitas.",VISUAL,Ordenanzas ordenadas\LAA257~1.PDF
SIN_COMUNA,lo696e_1,Ordenanzas ordenadas\LO696E~1.PDF,LO696E~1.PDF,6,2,4,MIXTO,MODIFICACION_PRC,SI,ALTA,"Verificado con pdftotext ampliado: decreto modifica el PRC de Lo Barnechea (MPRC-LB-20), incorpora Zona LL 'Equipamiento de Culto' con coeficientes reales (COS 0.6, constructibilidad 1.0, altura 10.5m); el snippet de 1500 caracteres mostraba por error contenido de fondos mutuos del mismo numero de Diario Oficial",TEXTO,Ordenanzas ordenadas\LO696E~1.PDF
SIN_COMUNA,lo9bab_1,Ordenanzas ordenadas\LO9BAB~1.PDF,LO9BAB~1.PDF,5,2,3,MIXTO,MODIFICACION_PRC,SI,ALTA,"Verificado con pdftotext ampliado: Decreto 5.794 aprueba Modificacion al Plan Regulador Comunal de Lo Barnechea 'MPRC-LB-22'; el snippet inicial mostraba un aviso previo de la SEC en el mismo Diario Oficial, no el contenido real del documento",TEXTO,Ordenanzas ordenadas\LO9BAB~1.PDF
SIN_COMUNA,lob32e_1,Ordenanzas ordenadas\OCR ok\LOB32E~1.PDF,LOB32E~1.PDF,4,2,2,MIXTO,MODIFICACION_PRC,SI,ALTA,"Decreto de Lo Barnechea que 'asigna nuevas normas urbanisticas' mediante tabla a predios que estaban afectos a declaratoria de utilidad publica (ensanche calle El Olivar), conforme art. 59 LGUC",TEXTO,Ordenanzas ordenadas\OCR ok\LOB32E~1.PDF
SIN_COMUNA,loec66_1,Ordenanzas ordenadas\OCR ok\LOEC66~1.PDF,LOEC66~1.PDF,5,5,0,TEXTO,MODIFICACION_PRC,SI,ALTA,Verificado con pdftotext ampliado: decreto que aprueba la Modificacion al PRC de Lo Barnechea denominada 'MPRC-LB-25 Diversos Ajustes al PRCLB'; el snippet inicial mostraba un aviso no relacionado del Poder Judicial en el mismo Diario Oficial,TEXTO,Ordenanzas ordenadas\OCR ok\LOEC66~1.PDF
SIN_COMUNA,re6b5f_1,Ordenanzas ordenadas\OCR ok\RE6B5F~1.PDF,RE6B5F~1.PDF,24,23,1,TEXTO,MODIFICACION_PRC,SI,ALTA,"Verificado con pdftotext ampliado: Decreto Alcaldicio aprueba la Modificacion N6 al Plan Regulador Comunal de Rengo, con redefinicion de zonas ZE2/ZCH/ZH7/ZC2 y declaratorias de Inmueble/Zona de Conservacion Historica",TEXTO,Ordenanzas ordenadas\OCR ok\RE6B5F~1.PDF
algarrobo,3336_aprueba_la_modificacion_del_plan_regulador_comuna_de_algarrobo_singularizad,Ordenanzas ordenadas\OCR ok\algarrobo_3336_aprueba_la_modificacion_del_plan_regulador_comuna_de_algarrobo_singularizad__Exportar.pdf,algarrobo_3336_aprueba_la_modificacion_del_plan_regulador_comuna_de_algarrobo_singularizad__Exportar.pdf,4,2,0,TEXTO,MODIFICACION_PRC,SI,ALTA,"Nombre y texto confirman: Decreto 3460 aprueba Modificacion del Plan Regulador de Algarrobo, zona ZSH3 sector deportivo Mirasol, con codigos de zona explicitos",NOMBRE,Ordenanzas Descargadas\1-600\algarrobo_3336_aprueba_la_modificacion_del_plan_regulador_comuna_de_algarrobo_singularizad__Exportar.pdf | Ordenanzas ordenadas\OCR ok\algarrobo_3336_aprueba_la_modificacion_del_plan_regulador_comuna_de_algarrobo_singularizad__Exportar.pdf | descargas\algarrobo\diario_oficial\3336_aprueba_la_modificacion_del_plan_regulador_comuna_de_algarrobo_singularizad__Exportar.pdf
andacollo,445_aprueba_enmienda_n_1_al_plan_regulador_comunal,Ordenanzas ordenadas\OCR ok\andacollo_445_aprueba_enmienda_n_1_al_plan_regulador_comunal__Exportar.pdf,andacollo_445_aprueba_enmienda_n_1_al_plan_regulador_comunal__Exportar.pdf,2,2,0,TEXTO,ENMIENDA_PRC,SI,ALTA,Nombre y texto confirman: Decreto 445 aprueba Enmienda N1 al Plan Regulador Comunal de Andacollo,NOMBRE,Ordenanzas Descargadas\1-600\andacollo_445_aprueba_enmienda_n_1_al_plan_regulador_comunal__Exportar.pdf | Ordenanzas ordenadas\OCR ok\andacollo_445_aprueba_enmienda_n_1_al_plan_regulador_comunal__Exportar.pdf | descargas\andacollo\diario_oficial\445_aprueba_enmienda_n_1_al_plan_regulador_comunal__Exportar.pdf
angol,40_gobierno_regional_de_la_araucania_promulga_actualizacion_del_plan_regulador_c,Ordenanzas ordenadas\OCR ok\angol_40_gobierno_regional_de_la_araucania_promulga_actualizacion_del_plan_regulador_c__40.pdf,angol_40_gobierno_regional_de_la_araucania_promulga_actualizacion_del_plan_regulador_c__40.pdf,20,20,0,TEXTO,ORDENANZA_PRC,SI,ALTA,"Resolucion del Gobierno Regional que promulga la Actualizacion completa del Plan Regulador de Angol, incluyendo ordenanza local, memoria explicativa y planos como parte del expediente aprobado",TEXTO,Ordenanzas Descargadas\1-600\angol_40_gobierno_regional_de_la_araucania_promulga_actualizacion_del_plan_regulador_c__40.pdf | Ordenanzas ordenadas\OCR ok\angol_40_gobierno_regional_de_la_araucania_promulga_actualizacion_del_plan_regulador_c__40.pdf | descargas\angol\diario_oficial\40_gobierno_regional_de_la_araucania_promulga_actualizacion_del_plan_regulador_c__40.pdf
antofagasta,136_modifica_ordenaza_local_de_plan_regulador,Ordenanzas ordenadas\OCR ok\antofagasta_136_modifica_ordenaza_local_de_plan_regulador__Exportar.pdf,antofagasta_136_modifica_ordenaza_local_de_plan_regulador__Exportar.pdf,1,1,0,TEXTO,MODIFICACION_PRC,SI,ALTA,"Decreto 136/1996 aprueba efectivamente una modificacion a la Ordenanza Local (relocalizacion de equipamiento vecinal), con articulado y decreto de aprobacion explicito.",TEXTO,Ordenanzas Descargadas\1-600\antofagasta_136_modifica_ordenaza_local_de_plan_regulador__Exportar.pdf | Ordenanzas ordenadas\OCR ok\antofagasta_136_modifica_ordenaza_local_de_plan_regulador__Exportar.pdf | descargas\antofagasta\diario_oficial\136_modifica_ordenaza_local_de_plan_regulador__Exportar.pdf
antofagasta,145_modifica_plan_regulador_comunal_de_antofagasta,Ordenanzas ordenadas\OCR ok\antofagasta_145_modifica_plan_regulador_comunal_de_antofagasta__Exportar.pdf,antofagasta_145_modifica_plan_regulador_comunal_de_antofagasta__Exportar.pdf,20,17,3,MIXTO,MODIFICACION_PRC,SI,ALTA,"Decreto 145/2016 modifica el PRC de Antofagasta tras audiencia publica y tramitacion completa; fuertes senales normativas (agrupamiento, antejardin, zonificacion, articulado).",TEXTO,Ordenanzas Descargadas\1-600\antofagasta_145_modifica_plan_regulador_comunal_de_antofagasta__Exportar.pdf | Ordenanzas ordenadas\OCR ok\antofagasta_145_modifica_plan_regulador_comunal_de_antofagasta__Exportar.pdf | descargas\antofagasta\diario_oficial\145_modifica_plan_regulador_comunal_de_antofagasta__Exportar.pdf
antofagasta,236_promulga_texto_aprobatorio_de_la_modificacion_del_plan_regulador_comunal_de,Ordenanzas ordenadas\OCR ok\antofagasta_236_promulga_texto_aprobatorio_de_la_modificacion_del_plan_regulador_comunal_de___Exportar.pdf,antofagasta_236_promulga_texto_aprobatorio_de_la_modificacion_del_plan_regulador_comunal_de___Exportar.pdf,60,41,18,MIXTO,MODIFICACION_PRC,SI,ALTA,"Decreto 236/2014 promulga el texto aprobatorio de la modificacion del PRC sector Norte III Etapa Chimba Norte; 60 paginas con zonificacion, usos de suelo, articulado y codigos de zona ZUDC.",TEXTO,Ordenanzas Descargadas\1-600\antofagasta_236_promulga_texto_aprobatorio_de_la_modificacion_del_plan_regulador_comunal_de___Exportar.pdf | Ordenanzas ordenadas\OCR ok\antofagasta_236_promulga_texto_aprobatorio_de_la_modificacion_del_plan_regulador_comunal_de___Exportar.pdf | descargas\antofagasta\diario_oficial\236_promulga_texto_aprobatorio_de_la_modificacion_del_plan_regulador_comunal_de___Exportar.pdf
antofagasta,621_aprueba_modificacion_a_ordenanza_local_plan_regulador,Ordenanzas ordenadas\OCR ok\antofagasta_621_aprueba_modificacion_a_ordenanza_local_plan_regulador__Exportar.pdf,antofagasta_621_aprueba_modificacion_a_ordenanza_local_plan_regulador__Exportar.pdf,1,1,0,TEXTO,MODIFICACION_PRC,SI,ALTA,"Decreto 621/1995 aprueba modificacion puntual al Art. 23 (Normas Especificas) de la Ordenanza Local; aunque remite el detalle tabular al Diario Oficial, el decreto mismo aprueba norma nueva.",TEXTO,Ordenanzas Descargadas\1-600\antofagasta_621_aprueba_modificacion_a_ordenanza_local_plan_regulador__Exportar.pdf | Ordenanzas ordenadas\OCR ok\antofagasta_621_aprueba_modificacion_a_ordenanza_local_plan_regulador__Exportar.pdf | descargas\antofagasta\diario_oficial\621_aprueba_modificacion_a_ordenanza_local_plan_regulador__Exportar.pdf
antofagasta,816_promulga_el_texto_aprobatorio_de_la_modificacion_del_plan_regulador_comunal,Ordenanzas ordenadas\OCR ok\antofagasta_816_promulga_el_texto_aprobatorio_de_la_modificacion_del_plan_regulador_comunal___Exportar.pdf,antofagasta_816_promulga_el_texto_aprobatorio_de_la_modificacion_del_plan_regulador_comunal___Exportar.pdf,52,46,5,TEXTO,MODIFICACION_PRC,SI,ALTA,"Decreto 816/2012 promulga texto aprobatorio de modificacion del PRC Sector Norte; 52 paginas con constructibilidad, ocupacion de suelo, predial minima, antejardin, rasante, adosamiento, distanciamiento y codigos ZUDC.",TEXTO,Ordenanzas Descargadas\1-600\antofagasta_816_promulga_el_texto_aprobatorio_de_la_modificacion_del_plan_regulador_comunal___Exportar.pdf | Ordenanzas ordenadas\OCR ok\antofagasta_816_promulga_el_texto_aprobatorio_de_la_modificacion_del_plan_regulador_comunal___Exportar.pdf | descargas\antofagasta\diario_oficial\816_promulga_el_texto_aprobatorio_de_la_modificacion_del_plan_regulador_comunal___Exportar.pdf
antofagasta,ordenanza_plan_regulador_de_la_comuna_de_antofagasta,Ordenanzas ordenadas\OCR ok\antofagasta_ordenanza_plan_regulador_de_la_comuna_de_antofagasta__07-07-2002 Plan Regulador.pdf,antofagasta_ordenanza_plan_regulador_de_la_comuna_de_antofagasta__07-07-2002 Plan Regulador.pdf,84,81,0,TEXTO,ORDENANZA_PRC,SI,ALTA,"Ordenanza Local completa del Plan Regulador de Antofagasta (2002), 84 paginas, con capitulos de limite urbano, zonificacion, usos de suelo, subdivision predial, edificacion y vialidad. Documento maestro del PRC.",TEXTO,Ordenanzas Descargadas\1-600\antofagasta_ordenanza_plan_regulador_de_la_comuna_de_antofagasta__07-07-2002 Plan Regulador.pdf | Ordenanzas ordenadas\OCR ok\antofagasta_ordenanza_plan_regulador_de_la_comuna_de_antofagasta__07-07-2002 Plan Regulador.pdf | descargas\antofagasta\ordenanzas_vigentes\ordenanza_plan_regulador_de_la_comuna_de_antofagasta__07-07-2002 Plan Regulador.pdf
antofagasta,sn_modificaciones_al_plan_regulador_comunal_de_antofagasta,Ordenanzas ordenadas\OCR ok\antofagasta_sn_modificaciones_al_plan_regulador_comunal_de_antofagasta__Exportar.pdf,antofagasta_sn_modificaciones_al_plan_regulador_comunal_de_antofagasta__Exportar.pdf,5,5,0,TEXTO,MODIFICACION_PRC,SI,ALTA,"Decreto S/N (1996/1998) aprueba modificaciones al PRC via Plan Seccional, tras exposicion publica y acuerdo del Concejo; fuertes senales de usos de suelo y articulado.",TEXTO,Ordenanzas Descargadas\1-600\antofagasta_sn_modificaciones_al_plan_regulador_comunal_de_antofagasta__Exportar.pdf | Ordenanzas ordenadas\OCR ok\antofagasta_sn_modificaciones_al_plan_regulador_comunal_de_antofagasta__Exportar.pdf | descargas\antofagasta\diario_oficial\sn_modificaciones_al_plan_regulador_comunal_de_antofagasta__Exportar.pdf
arauco,110_deja_sin_efecto_declaratorias_de_utilidad_publica_en_relacion_al_plan_regula,Ordenanzas ordenadas\OCR ok\arauco_110_deja_sin_efecto_declaratorias_de_utilidad_publica_en_relacion_al_plan_regula__resolucion110modificaplanregulador.pdf,arauco_110_deja_sin_efecto_declaratorias_de_utilidad_publica_en_relacion_al_plan_regula__resolucion110modificaplanregulador.pdf,4,4,0,TEXTO,MODIFICACION_PRC,SI,ALTA,"el texto promulga una modificacion del PRC de Arauco (area urbana Horcones) con articulado extenso y multiples zonas (ZH-1, ZH-2, ZE-3, ZA-1, etc.); el regex de descarte 'deja_sin_efecto' es enganoso porque el mismo acto tambien promulga la modificacion",TEXTO,Ordenanzas Descargadas\1-600\arauco_110_deja_sin_efecto_declaratorias_de_utilidad_publica_en_relacion_al_plan_regula__resolucion110modificaplanregulador.pdf | Ordenanzas ordenadas\OCR ok\arauco_110_deja_sin_efecto_declaratorias_de_utilidad_publica_en_relacion_al_plan_regula__resolucion110modificaplanregulador.pdf | Ordenanzas ordenadas\arauco_110_deja_sin_efecto_declaratorias_de_utilidad_publica_en_relacion_al_plan_regula__resolucion110modificaplanregulador.pdf | descargas\arauco\diario_oficial\110_deja_sin_efecto_declaratorias_de_utilidad_publica_en_relacion_al_plan_regula__resolucion110modificaplanregulador.pdf
arauco,1377_fija_nuevas_normas_urbanisticas_a_terrenos_desafectados_de_declaratoria_de,Ordenanzas ordenadas\OCR ok\arauco_1377_fija_nuevas_normas_urbanisticas_a_terrenos_desafectados_de_declaratoria_de___Exportar.pdf,arauco_1377_fija_nuevas_normas_urbanisticas_a_terrenos_desafectados_de_declaratoria_de___Exportar.pdf,3,1,1,MIXTO,MODIFICACION_PRC,SI,ALTA,decreto modifica el PRC de Arauco asignando nueva zona normativa (zona EXP) a terrenos especificos desafectados de utilidad publica,TEXTO,Ordenanzas Descargadas\1-600\arauco_1377_fija_nuevas_normas_urbanisticas_a_terrenos_desafectados_de_declaratoria_de___Exportar.pdf | Ordenanzas ordenadas\OCR ok\arauco_1377_fija_nuevas_normas_urbanisticas_a_terrenos_desafectados_de_declaratoria_de___Exportar.pdf | descargas\arauco\diario_oficial\1377_fija_nuevas_normas_urbanisticas_a_terrenos_desafectados_de_declaratoria_de___Exportar.pdf
