comuna,archivo,extension,bytes,estado
SIN_COMUNA,0_plan_regulador_vigente__dd60d69b-c91d-43a1-879d-c8223ff67d32.jpg,.jpg,826566,PENDIENTE_CONVERSION
SIN_COMUNA,1_aprueba_plan_regulador_comunal_sector_urbano_de_la_comuna_de_lago_ranco_ano_19__26a6826e-8f72-4e4d-bbbf-b23cbcdfb146.jpg,.jpg,4619939,PENDIENTE_CONVERSION
SIN_COMUNA,222_autoriza_aprobacion_del_plano_seccional_que_rectifica_los_limites_del_area_v__acuerdo 222.doc.doc,.doc,160256,PENDIENTE_CONVERSION
SIN_COMUNA,439_modificacion_plan_regulador__Decreto-Alcaldicio-N°-439-del-03-02-2010.tif.bin,.bin,316705,PENDIENTE_CONVERSION
SIN_COMUNA,a_quien_corresponda_se_solicita_plano_regulador_comunal_vigente_en_formato_dwg_a__c505f138-43b2-468d-b41c-71403855b9a8.zip,.zip,13289,PENDIENTE_CONVERSION
SIN_COMUNA,decreto_exento_266_aprobacion_y_modificaciones_de_plan_regulador__1ba0e48a-53a6-40ac-8a56-55ac30f2e7c8.zip,.zip,676545,PENDIENTE_CONVERSION
SIN_COMUNA,decreto_sup_162_aprueba_plano_regulador_y_ordenanza_local_de_papudo__publicacion_d_oficial.tif.bin,.bin,6537440,PENDIENTE_CONVERSION
SIN_COMUNA,ordenanza_947_plano_regulador_chepica_urbano_para_descargar__plano%20prc%20chepica%20.wmf.bin,.bin,855892,PENDIENTE_CONVERSION
SIN_COMUNA,ordenanza_947_plano_regulador_comunal_sector_auquinco_para_descargar__plano%20prc_loc%20auquinco.wmf.bin,.bin,456076,PENDIENTE_CONVERSION
SIN_COMUNA,plan_desarrollo_comunal_y_plan_regulador_de_la_comuna_de_coinco_actualizado__ccf78f87-0cd2-450a-a6c6-35f0e0ef1093.jpg,.jpg,9485782,PENDIENTE_CONVERSION
SIN_COMUNA,plan_regulador__67c8be8a-32fe-450d-8595-95ca26e326ff.doc,.doc,92160,PENDIENTE_CONVERSION
SIN_COMUNA,plan_regulador_comunal_de_las_localidades_de_donihue_y_lo_miranda_vigente__cf906fb9-196d-4047-82a4-15a760604037.zip,.zip,5208246,PENDIENTE_CONVERSION
SIN_COMUNA,resolucion_6_modificacion_plan_regulador_de_la_localidad_de_lican_ray_plano_actu__plano_regulador_lican_ray_actual.jpg.jpg,.jpg,5099456,PENDIENTE_CONVERSION
SIN_COMUNA,solicito_copia_electronica_del_plan_regulador_comunal_vigente__9ef93947-371a-4c64-9937-4571c070ecec.rar,.rar,3873801,PENDIENTE_CONVERSION
SIN_COMUNA,solicito_plan_regulador_de_la_comuna_mapa_fisico_y_organigrama_municipal__30caa8da-fbf1-4e19-bfdf-c68fe3e54c83.zip,.zip,12390,PENDIENTE_CONVERSION
catemu,catemu_0_plan_regulador_vigente__dd60d69b-c91d-43a1-879d-c8223ff67d32.jpg,.jpg,826566,PENDIENTE_CONVERSION
chepica,chepica_ordenanza_947_plano_regulador_chepica_urbano_para_descargar__plano%20prc%20chepica%20.wmf.bin,.bin,855892,PENDIENTE_CONVERSION
chepica,chepica_ordenanza_947_plano_regulador_comunal_sector_auquinco_para_descargar__plano%20prc_loc%20auquinco.wmf.bin,.bin,456076,PENDIENTE_CONVERSION
coinco,coinco_plan_desarrollo_comunal_y_plan_regulador_de_la_comuna_de_coinco_actualizado__ccf78f87-0cd2-450a-a6c6-35f0e0ef1093.jpg,.jpg,9485782,PENDIENTE_CONVERSION
coltauco,coltauco_decreto_exento_266_aprobacion_y_modificaciones_de_plan_regulador__1ba0e48a-53a6-40ac-8a56-55ac30f2e7c8.zip,.zip,676545,PENDIENTE_CONVERSION
donihue,donihue_plan_regulador_comunal_de_las_localidades_de_donihue_y_lo_miranda_vigente__cf906fb9-196d-4047-82a4-15a760604037.zip,.zip,5208246,PENDIENTE_CONVERSION
fresia,fresia_a_quien_corresponda_se_solicita_plano_regulador_comunal_vigente_en_formato_dwg_a__c505f138-43b2-468d-b41c-71403855b9a8.zip,.zip,13289,PENDIENTE_CONVERSION
lago_ranco,lago_ranco_1_aprueba_plan_regulador_comunal_sector_urbano_de_la_comuna_de_lago_ranco_ano_19__26a6826e-8f72-4e4d-bbbf-b23cbcdfb146.jpg,.jpg,4619939,PENDIENTE_CONVERSION
lonquimay,lonquimay_plan_regulador__67c8be8a-32fe-450d-8595-95ca26e326ff.doc,.doc,92160,PENDIENTE_CONVERSION
los_andes,los_andes_solicito_copia_electronica_del_plan_regulador_comunal_vigente__9ef93947-371a-4c64-9937-4571c070ecec.rar,.rar,3873801,PENDIENTE_CONVERSION
padre_hurtado,padre_hurtado_439_modificacion_plan_regulador__Decreto-Alcaldicio-N°-439-del-03-02-2010.tif.bin,.bin,316705,PENDIENTE_CONVERSION
papudo,papudo_decreto_sup_162_aprueba_plano_regulador_y_ordenanza_local_de_papudo__publicacion_d_oficial.tif.bin,.bin,6537440,PENDIENTE_CONVERSION
pedro_aguirre_cerda,pedro_aguirre_cerda_solicito_plan_regulador_de_la_comuna_mapa_fisico_y_organigrama_municipal__30caa8da-fbf1-4e19-bfdf-c68fe3e54c83.zip,.zip,12390,PENDIENTE_CONVERSION
santiago,santiago_222_autoriza_aprobacion_del_plano_seccional_que_rectifica_los_limites_del_area_v__acuerdo 222.doc.doc,.doc,160256,PENDIENTE_CONVERSION
villarrica,villarrica_resolucion_6_modificacion_plan_regulador_de_la_localidad_de_lican_ray_plano_actu__plano_regulador_lican_ray_actual.jpg.jpg,.jpg,5099456,PENDIENTE_CONVERSION
